gene	group1	group2	padj.edgeR	pvalue.edgeR	logFC.edgeR	padj.DESeq2	pvalue.DESeq2	logFC.DESeq2	description
Solyc08g062340.3	A.28.30	A.34.30	2.48e-10	7.87e-13	3.418	3.16e-06	7.22e-09	3.453	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3A1B9_CAPAN)
Solyc08g062437.1	A.28.30	A.34.30	4.11e-29	4.79e-32	3.683	2.07e-26	6.53e-30	3.691	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH)
Solyc08g062960.4	A.28.30	A.34.30	4.55e-14	1.11e-16	4.868	2.35e-06	5.2e-09	4.992	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI)
Solyc08g067960.3	A.28.30	A.34.30	0.00853	4.7e-05	0.491	0.0419	0.000155	0.491	CHY-type/CTCHY-type/RING-type Zinc finger protein (AHRD V3.3 *** A0A2U1Q2D4_ARTAN)
Solyc08g078700.2	A.28.30	A.34.30	9.4e-37	3.98e-40	4.617	4.53e-14	3.93e-17	4.638	mitochondrial small heat shock protein
Solyc08g079170.3	A.28.30	A.34.30	0.00377	1.88e-05	0.663	0.00802	2.53e-05	0.663	Hsp70-Hsp90 organizing protein 1 (AHRD V3.3 *** A0A1U8GC69_CAPAN)
Solyc08g081455.1	A.28.30	A.34.30	0.00031	1.35e-06	2.753	NA	NA	NA	NA
Solyc09g005120.3	A.28.30	A.34.30	3.5e-05	1.44e-07	1.143	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.0489	0.000189	2.894	plant/protein (AHRD V3.3 *** AT3G10020.1)
NA	NA	NA	NA	NA	NA	0.0155	5.01e-05	5.96	Gag-asp_proteas domain-containing protein (AHRD V3.3 *-* A0A1Q3CQ35_CEPFO)
NA	NA	NA	NA	NA	NA	0.0217	7.18e-05	5.807	Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR)
NA	NA	NA	NA	NA	NA	0.0445	0.000169	5.583	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI)
Solyc09g075950.1	A.28.30	A.34.30	0.000448	1.99e-06	1.868	0.00418	1.26e-05	1.876	Heat shock protein 70 kDa (AHRD V3.3 *** A0A2K3P5L8_TRIPR)
Solyc09g082690.3	A.28.30	A.34.30	0.00116	5.27e-06	2.909	NA	NA	NA	NA
Solyc09g092690.3	A.28.30	A.34.30	2.27e-23	4.58e-26	4.261	1.75e-19	6.9e-23	4.281	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA)
Solyc10g078930.2	A.28.30	A.34.30	3.08e-11	9.14e-14	1.325	6.84e-11	8.09e-14	1.325	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA)
Solyc10g084170.1	A.28.30	A.34.30	1.81e-26	3.08e-29	4.131	2.11e-17	1.5e-20	4.159	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR)
NA	NA	NA	NA	NA	NA	0.00418	1.29e-05	6.18	leer-sHSP small heat shock protein
Solyc11g066060.3	A.28.30	A.34.30	1e-08	3.4e-11	1.26	0.0341	0.000121	1.26	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ)
Solyc11g066100.2	A.28.30	A.34.30	2.28e-31	2.17e-34	3.033	3.38e-10	4.75e-13	3.032	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI)
Solyc11g071830.2	A.28.30	A.34.30	4.31e-36	2.28e-39	4.156	5.85e-13	5.54e-16	4.156	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA)
Solyc12g015880.2	A.28.30	A.34.30	1.54e-18	3.42e-21	1.785	3.24e-18	2.04e-21	1.786	Heat shock protein 90-1
Solyc01g007840.3	A.28.45	A.34.45	0.0388	0.000331	0.684	0.0475	0.000314	0.681	Polynucleotidyl transferase, ribonuclease H-like superfamily protein (AHRD V3.3 *** A0A2U1M9A7_ARTAN)
Solyc01g010220.3	A.28.45	A.34.45	0.00848	6.5e-05	2.505	0.0235	0.000138	2.524	Copia-like polyprotein/retrotransposon (AHRD V3.3 --* Q9FI33_ARATH)
Solyc01g081250.3	A.28.45	A.34.45	1.7e-12	3.26e-15	4.133	3.22e-06	6.83e-09	4.131	Glutathione S-transferase (AHRD V3.3 *** A0A200PVK3_9MAGN)
Solyc01g081270.2	A.28.45	A.34.45	7.37e-08	2.75e-10	4.732	0.000618	2.3e-06	4.899	Glutathione S-transferase (AHRD V3.3 *** A0A200PVK3_9MAGN)
Solyc01g091270.3	A.28.45	A.34.45	0.00623	4.71e-05	1.286	0.0159	8.61e-05	1.286	myeloid leukemia factor (AHRD V3.3 *** AT2G45380.4)
Solyc01g095320.4	A.28.45	A.34.45	4.28e-17	2.28e-20	4.487	2.38e-09	2.22e-12	4.486	Bag family molecular chaperone regulator 6-like protein (AHRD V3.3 *** A0A2K3PRI9_TRIPR)
Solyc01g098430.3	A.28.45	A.34.45	0.0101	7.89e-05	1.379	NA	NA	NA	NA
Solyc01g102960.3	A.28.45	A.34.45	3.1e-15	2.97e-18	4.514	2.82e-08	3.82e-11	4.516	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH)
Solyc01g104740.3	A.28.45	A.34.45	3.83e-06	1.63e-08	2.678	0.0159	8.5e-05	2.673	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN)
Solyc01g106210.3	A.28.45	A.34.45	0.000549	3.51e-06	1.501	0.000137	3.93e-07	1.5	Heat shock protein 70 kDa (AHRD V3.3 *** A0A2K3MZA1_TRIPR)
Solyc01g107080.3	A.28.45	A.34.45	2.56e-11	6.54e-14	5.418	0.000663	2.53e-06	5.474	HXXXD-type acyl-transferase family protein (AHRD V3.3 *** A0A2K3MRI0_TRIPR)
NA	NA	NA	NA	NA	NA	0.0101	4.77e-05	5.788	Calcium-dependent lipid-binding (CaLB domain) family protein (AHRD V3.3 *** A0A2U1LMA8_ARTAN)
NA	NA	NA	NA	NA	NA	0.000443	1.54e-06	4.669	Transcription initiation factor TFIID subunit 8 (AHRD V3.3 *** A0A1J3F703_NOCCA)
Solyc02g077670.3	A.28.45	A.34.45	1.02e-11	2.5e-14	4.248	9.92e-13	8.4e-17	4.27	DnaJ-like protein (AHRD V3.3 *** Q9SP09_TOBAC)
Solyc02g079930.3	A.28.45	A.34.45	2.08e-05	9.97e-08	1.662	1.25e-06	2.55e-09	1.662	phosphosulfolactate synthase
Solyc02g081550.3	A.28.45	A.34.45	8.74e-15	1.12e-17	5.61	1.87e-12	4.74e-16	5.684	LeftsH6FtsH protease
Solyc02g088610.4	A.28.45	A.34.45	0.000383	2.28e-06	2.907	NA	NA	NA	NA
Solyc02g090820.3	A.28.45	A.34.45	5.2e-05	2.66e-07	1.709	8.03e-06	2.04e-08	1.709	Heat stress transcription factor B-1 (AHRD V3.3 *** A0A2G3D8M4_CAPCH)
Solyc03g007000.4	A.28.45	A.34.45	0.000533	3.35e-06	1.707	NA	NA	NA	NA
Solyc03g007890.3	A.28.45	A.34.45	1.59e-14	2.37e-17	4.359	1.42e-07	2.4e-10	4.356	class 2 small heat shock protein Le-HSP17.6
Solyc03g025720.3	A.28.45	A.34.45	0.0221	0.000179	1.981	NA	NA	NA	NA
Solyc03g082420.3	A.28.45	A.34.45	8.63e-25	9.19e-29	6.595	1.66e-10	8.42e-14	6.638	Small heat shock protein, chloroplastic (AHRD V3.3 *** HS21C_SOLLC)
Solyc03g113930.3	A.28.45	A.34.45	1.59e-14	2.25e-17	6.904	6.14e-06	1.46e-08	7.256	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH)
Solyc03g115230.3	A.28.45	A.34.45	7.67e-09	2.45e-11	3.121	0.000618	2.28e-06	3.117	Solanum lycopersicum heat shock protein
Solyc03g117630.1	A.28.45	A.34.45	2.01e-17	8.56e-21	5.184	7.17e-10	5.47e-13	5.189	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN)
Solyc03g118060.3	A.28.45	A.34.45	1.02e-11	2.35e-14	5.337	1.98e-08	2.35e-11	5.441	NFU1 iron-sulfur cluster protein (AHRD V3.3 *** AT5G07330.1)
Solyc03g120090.1	A.28.45	A.34.45	0.000142	8.01e-07	2.268	NA	NA	NA	NA
Solyc03g123540.3	A.28.45	A.34.45	2.85e-14	4.86e-17	5.808	4.02e-07	7.49e-10	5.869	17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH)
Solyc03g123560.3	A.28.45	A.34.45	0.0438	0.000392	2.299	NA	NA	NA	NA
Solyc04g005270.1	A.28.45	A.34.45	0.00575	4.29e-05	1.042	0.0132	6.77e-05	1.038	Phosphatidylinositol 4-kinase gamma 7 (AHRD V3.3 *** A0A1U8GNT8_CAPAN)
Solyc04g011440.4	A.28.45	A.34.45	9.38e-10	2.7e-12	4.074	0.000109	3.04e-07	4.071	ethylene-responsive heat shock protein cognate 70
Solyc04g014480.3	A.28.45	A.34.45	0.00571	4.2e-05	1.844	NA	NA	NA	NA
Solyc04g072160.3	A.28.45	A.34.45	4.99e-19	1.06e-22	4.642	6.22e-10	4.22e-13	4.642	ripening regulated protein DDTFR8
Solyc05g005910.4	A.28.45	A.34.45	0.0425	0.000376	2.018	NA	NA	NA	NA
Solyc05g007895.1	A.28.45	A.34.45	8.36e-08	3.21e-10	3.741	5.52e-06	1.22e-08	3.784	RING/U-box superfamily protein (AHRD V3.3 *-* Q9LJE9_ARATH)
NA	NA	NA	NA	NA	NA	0.0118	5.82e-05	5.598	DnaJ-like protein subfamily B member 6 (AHRD V3.3 *-* A0A2G3B5R9_CAPCH)
Solyc05g013440.3	A.28.45	A.34.45	0.0244	0.000202	1.962	NA	NA	NA	NA
Solyc05g014280.4	A.28.45	A.34.45	1.49e-08	5.08e-11	6.961	0.0022	9.67e-06	7.311	small heat shock protein 1
Solyc05g046310.3	A.28.45	A.34.45	0.00031	1.79e-06	2.326	NA	NA	NA	NA
Solyc05g052410.3	A.28.45	A.34.45	9.4e-05	4.91e-07	1.862	2.34e-05	6.36e-08	1.861	Dehydration-responsive element-binding protein 2A (AHRD V3.3 *** A0A1U8GX89_CAPAN)
NA	NA	NA	NA	NA	NA	0.0327	0.000205	3.767	Regulator of chromosome condensation (RCC1) family protein (AHRD V3.3 *** Q9M2S1_ARATH)
NA	NA	NA	NA	NA	NA	0.0326	0.000202	5.671	cilia- and flagella-associated protein 298-B-like isoform X1 (AHRD V3.3 *** XP_010321365.1)
Solyc05g055010.4	A.28.45	A.34.45	0.00126	8.48e-06	2.965	NA	NA	NA	NA
Solyc05g055470.4	A.28.45	A.34.45	0.0244	0.000202	1.011	0.0132	6.84e-05	1.009	NAC domain-containing protein 13 (AHRD V3.3 *** A0A2G2XV32_CAPAN)
Solyc06g011370.4	A.28.45	A.34.45	1.2e-07	4.84e-10	4.985	0.000247	7.76e-07	5.156	Chaperone protein ClpB (AHRD V3.3 *-* B2IUM0_NOSP7)
Solyc06g036290.3	A.28.45	A.34.45	7.32e-08	2.65e-10	2.787	0.00213	9.22e-06	2.783	heat shock protein 90
NA	NA	NA	NA	NA	NA	0.000247	7.7e-07	6.868	Protein kinase-like protein (AHRD V3.3 *** Q8LCP0_ARATH)
Solyc06g072430.3	A.28.45	A.34.45	8.98e-06	4.21e-08	3.175	0.0166	9.16e-05	3.169	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA)
Solyc06g076520.1	A.28.45	A.34.45	7.1e-12	1.51e-14	5.041	7.96e-06	1.96e-08	5.062	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g076560.2	A.28.45	A.34.45	3.26e-15	3.48e-18	5.764	1.35e-07	2.15e-10	5.795	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g076570.4	A.28.45	A.34.45	6.94e-09	2.14e-11	4.466	2.33e-08	2.97e-11	4.516	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g076670.3	A.28.45	A.34.45	0.00104	6.75e-06	1.115	0.000401	1.36e-06	1.113	RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.3 *-* A0A1P8AVT0_ARATH)
Solyc06g083190.4	A.28.45	A.34.45	4.67e-17	2.98e-20	4.514	1.23e-09	1.05e-12	4.531	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G3CCB5_CAPCH)
Solyc07g007500.3	A.28.45	A.34.45	0.0127	1e-04	2.289	0.0276	0.000168	2.309	nucleolin isoform X1 (AHRD V3.3 *-* XP_004242730.1)
Solyc07g042250.3	A.28.45	A.34.45	0.00431	3.03e-05	1.405	NA	NA	NA	NA
Solyc07g042930.3	A.28.45	A.34.45	0.00105	6.93e-06	1.108	0.0124	6.21e-05	1.107	Rhomboid-like protein 14 (AHRD V3.3 *** A0A2K3N0Y0_TRIPR)
Solyc07g048120.3	A.28.45	A.34.45	0.00483	3.5e-05	1.158	0.00233	1.05e-05	1.155	ubiquitin fusion degradation protein 1 (AHRD V3.3 *** A0A2I4DSF8_9ROSI)
Solyc07g053615.1	A.28.45	A.34.45	0.00336	2.32e-05	1.718	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.00188	7.95e-06	6.457	Lectin-domain receptor-like kinase (AHRD V3.3 *-* G4XXY5_NICAT)
Solyc07g056510.3	A.28.45	A.34.45	1.97e-10	5.45e-13	5.832	8.49e-07	1.66e-09	6.002	Glutathione S-transferase-like protein (AHRD V3.3 *** A0A2K3N2T5_TRIPR)
Solyc08g006980.3	A.28.45	A.34.45	8.83e-09	2.92e-11	2.489	1.32e-10	5.58e-14	2.49	RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1LIK0_ARTAN)
Solyc08g062340.3	A.28.45	A.34.45	8.06e-15	9.45e-18	5.225	5.31e-08	7.65e-11	5.252	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3A1B9_CAPAN)
Solyc08g062437.1	A.28.45	A.34.45	5.37e-17	4.01e-20	4.137	2.83e-09	2.88e-12	4.137	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH)
Solyc08g062960.4	A.28.45	A.34.45	3.27e-14	5.93e-17	5.483	1.58e-12	2.68e-16	5.548	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI)
Solyc08g068820.3	A.28.45	A.34.45	0.04	0.000345	0.806	NA	NA	NA	NA
Solyc08g078700.2	A.28.45	A.34.45	6.07e-17	5.18e-20	4.086	5.15e-09	5.67e-12	4.085	mitochondrial small heat shock protein
Solyc08g079170.3	A.28.45	A.34.45	6.39e-06	2.86e-08	1.692	0.0135	7.11e-05	1.689	Hsp70-Hsp90 organizing protein 1 (AHRD V3.3 *** A0A1U8GC69_CAPAN)
Solyc09g005120.3	A.28.45	A.34.45	0.0047	3.36e-05	1.517	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.0017	7.07e-06	6.255	heavy metal-associated isoprenylated plant protein 3-like (AHRD V3.3 *-* A0A1S4B4L4_TOBAC)
Solyc09g008970.1	A.28.45	A.34.45	1.02e-11	2.38e-14	4.918	7.64e-11	2.59e-14	4.971	plant/protein (AHRD V3.3 *** AT3G10020.1)
Solyc09g011030.3	A.28.45	A.34.45	0.0139	0.000111	2.859	0.0202	0.000115	2.883	Hsp70 nucleotide exchange factor FES1 (AHRD V3.3 *** A0A1J3K956_NOCCA)
Solyc09g011160.4	A.28.45	A.34.45	2.82e-05	1.38e-07	3.677	0.00057	2.03e-06	3.733	Regulator of chromosome condensation (RCC1) family protein (AHRD V3.3 *** A0A1I9LSN5_ARATH)
Solyc09g015000.4	A.28.45	A.34.45	8.62e-06	3.95e-08	4.609	5.84e-06	1.34e-08	4.681	Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR)
Solyc09g015010.2	A.28.45	A.34.45	7.1e-12	1.5e-14	5.429	1.35e-07	2.18e-10	5.551	Gag-asp_proteas domain-containing protein (AHRD V3.3 *-* A0A1Q3CQ35_CEPFO)
NA	NA	NA	NA	NA	NA	0.000806	3.14e-06	6.667	Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR)
NA	NA	NA	NA	NA	NA	0.0411	0.000268	4.628	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI)
Solyc09g074510.3	A.28.45	A.34.45	0.00173	1.18e-05	1.399	0.00335	1.53e-05	1.4	Tubby-like F-box protein (AHRD V3.3 *** A0A200QX79_9MAGN)
Solyc09g075950.1	A.28.45	A.34.45	3.42e-11	9.11e-14	3.514	1.05e-05	2.75e-08	3.524	Heat shock protein 70 kDa (AHRD V3.3 *** A0A2K3P5L8_TRIPR)
NA	NA	NA	NA	NA	NA	0.0488	0.000326	4.186	Major facilitator superfamily protein (AHRD V3.3 *** A0A2U1PVI2_ARTAN)
Solyc09g092690.3	A.28.45	A.34.45	6.64e-18	2.12e-21	5.528	2.44e-10	1.45e-13	5.536	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA)
